cookie,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,priority,Flow Bytes/s,Flow Packets/s,Average Packet Size,switch,timestamp,collection_time,label
0x0,25.299,3,238,1,9.407486461915491,0.11858176212498518,79.33333333333333,s1,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.297,2,140,1,5.534253073486974,0.07906075819267107,70.0,s1,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.283,3,238,1,9.413439860776014,0.1186568049677649,79.33333333333333,s1,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.282,2,140,1,5.537536587295309,0.07910766553279013,70.0,s1,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.272,3,238,1,9.417537195314974,0.11870845204178539,79.33333333333333,s1,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.269,2,140,1,5.540385452530769,0.07914836360758241,70.0,s1,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.408,44,3296,0,129.72292191435767,1.7317380352644836,74.9090909090909,s1,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.336,2,140,1,5.525734133249132,0.07893905904641617,70.0,s2,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.327,3,238,1,9.397086113633671,0.11845066529790342,79.33333333333333,s2,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.323,2,140,1,5.528570864431544,0.0789795837775935,70.0,s2,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.312,3,238,1,9.402654867256636,0.11852085967130215,79.33333333333333,s2,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.307,2,140,1,5.532066226735686,0.07902951752479552,70.0,s2,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.302,3,238,1,9.40637103786262,0.11856770215793218,79.33333333333333,s2,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.295,2,140,1,5.5346906503261515,0.07906700929037358,70.0,s2,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.283,3,238,1,9.413439860776014,0.1186568049677649,79.33333333333333,s2,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.28,2,140,1,5.537974683544303,0.0791139240506329,70.0,s2,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,25.434,44,3296,0,129.5903121805457,1.729967759691751,74.9090909090909,s2,2025-03-12 16:43:06,1741777986.7792087,BENIGN
0x0,30.375,2,140,1,4.609053497942387,0.06584362139917696,70.0,s1,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.366,3,238,1,7.837713231904103,0.09879470460383323,79.33333333333333,s1,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.365,2,140,1,4.610571381524782,0.06586530545035403,70.0,s1,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.353,3,238,1,7.8410700754455895,0.09883701775771751,79.33333333333333,s1,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.351,2,140,1,4.612698098909426,0.06589568712727752,70.0,s1,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.337,3,238,1,7.845205524606916,0.0988891452681544,79.33333333333333,s1,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.336,2,140,1,4.614978902953586,0.06592827004219409,70.0,s1,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.326,3,238,1,7.848051177207677,0.09892501483875223,79.33333333333333,s1,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.323,2,140,1,4.616957425056888,0.06595653464366982,70.0,s1,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.462,45,3366,0,110.49832578294269,1.477250344691747,74.8,s1,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.379,2,140,1,4.6084466243128475,0.06583495177589782,70.0,s2,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.37,3,238,1,7.836680935133355,0.09878169245966414,79.33333333333333,s2,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.366,2,140,1,4.610419548178884,0.06586313640255549,70.0,s2,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.355,3,238,1,7.840553450831823,0.09883050568275407,79.33333333333333,s2,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.35,2,140,1,4.612850082372323,0.06589785831960461,70.0,s2,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.345,3,238,1,7.843137254901961,0.09886307464162136,79.33333333333333,s2,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.339,2,140,1,4.614522561719239,0.06592175088170342,70.0,s2,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.327,3,238,1,7.847792396214594,0.09892175289346126,79.33333333333333,s2,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.324,2,140,1,4.616805170821791,0.06595435958316845,70.0,s2,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,30.478,46,3436,0,112.7370562372859,1.5092853861801954,74.69565217391305,s2,2025-03-12 16:43:11,1741777991.8380659,BENIGN
0x0,35.417,2,140,1,3.9529039726684925,0.05647005675240704,70.0,s1,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.408,3,238,1,6.721644826028016,0.08472661545413465,79.33333333333333,s1,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.407,2,140,1,3.954020391448019,0.05648600559211456,70.0,s1,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.395,3,238,1,6.724113575363751,0.08475773414324056,79.33333333333333,s1,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.393,2,140,1,3.9555844376006553,0.05650834910858079,70.0,s1,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.379,3,238,1,6.727154526696628,0.08479606546256255,79.33333333333333,s1,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.378,2,140,1,3.957261574990107,0.056532308214144386,70.0,s1,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.368,3,238,1,6.729246776747342,0.08482243836236145,79.33333333333333,s1,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.365,2,140,1,3.9587162448748763,0.05655308921249823,70.0,s1,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.504,48,3576,0,100.7210455159982,1.3519603424966202,74.5,s1,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.433,2,140,1,3.9511190133491376,0.05644455733355911,70.0,s2,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.424,3,238,1,6.718608852755194,0.08468834688346884,79.33333333333333,s2,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.42,2,140,1,3.952569169960474,0.0564652738565782,70.0,s2,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.409,3,238,1,6.721454997317067,0.08472422265525714,79.33333333333333,s2,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.404,2,140,1,3.9543554400632694,0.056490792000903844,70.0,s2,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.399,3,238,1,6.723353767055566,0.08474815672759117,79.33333333333333,s2,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.392,2,140,1,3.9556962025316453,0.056509945750452074,70.0,s2,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.38,3,238,1,6.726964386659129,0.08479366873940078,79.33333333333333,s2,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.377,2,140,1,3.9573734347174714,0.05653390621024959,70.0,s2,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,35.531,48,3576,0,100.64450761307027,1.350932988094903,74.5,s2,2025-03-12 16:43:16,1741777996.8753283,BENIGN
0x0,40.481,2,140,1,3.4584125886218224,0.04940589412316889,70.0,s1,2025-03-12 16:43:21,1741778001.943108,BENIGN
0x0,40.472,3,238,1,5.880608815971535,0.07412532120972525,79.33333333333333,s1,2025-03-12 16:43:21,1741778001.943108,BENIGN
0x0,40.471,2,140,1,3.4592671295495543,0.04941810185070792,70.0,s1,2025-03-12 16:43:21,1741778001.943108,BENIGN
0x0,40.459,3,238,1,5.88249833164438,0.07414913863417286,79.33333333333333,s1,2025-03-12 16:43:21,1741778001.943108,BENIGN
0x0,40.457,2,140,1,3.460464196554366,0.04943520280791952,70.0,s1,2025-03-12 16:43:21,1741778001.943108,BENIGN
0x0,40.443,3,238,1,5.884825556956705,0.07417847340701729,79.33333333333333,s1,2025-03-12 16:43:21,1741778001.943108,BENIGN
0x0,40.442,2,140,1,3.4617476880470797,0.04945353840067257,70.0,s1,2025-03-12 16:43:21,1741778001.943108,BENIGN
0x0,40.432,3,238,1,5.8864265927977835,0.0741986545310645,79.33333333333333,s1,2025-03-12 16:43:21,1741778001.943108,BENIGN
0x0,40.429,2,140,1,3.462860817729847,0.04946944025328353,70.0,s1,2025-03-12 16:43:21,1741778001.943108,BENIGN
0x0,40.568,48,3576,0,88.14829422204694,1.1831985801617038,74.5,s1,2025-03-12 16:43:21,1741778001.943108,BENIGN
0x0,40.484,2,140,1,3.4581563086651514,0.04940223298093074,70.0,s2,2025-03-12 16:43:21,1741778001.943108,BENIGN
0x0,40.475,3,238,1,5.880172946263126,0.07411982705373688,79.33333333333333,s2,2025-03-12 16:43:21,1741778001.943108,BENIGN
